# franken-registry-v1
# The layer registry is the design-review boundary for every workspace crate.
# `allowed_dependency_layers` is a sorted comma-separated restriction; `none`
# means that the crate currently admits no first-party dependency layer.
crate	layer	allowed_dependency_layers	owner	status
fgit-admission	L4	L0,L1,L2,L3,L4	receive-pack-admission	active
fgit-agent	L2	L0,L1,L2	agent	active
fgit-atp-git	L3	L0,L1,L2,L3	transport	active
fgit-authority	L2	L0,L1,L2	authority	active
fgit-authority-fsqlite	L2	L0,L1,L2	authority	active
fgit-benchmark	L2	L0,L1,L2	performance-verification	active
fgit-calm	L0	none	calm-vocabulary	active
fgit-chronicle	L2	L0,L1,L2	decision-log	active
# The closed claim lattice is a foundational pure value/type gate; it owns no
# cryptographic construction or evidence storage and has no first-party edges.
fgit-claim	L0	none	claims-evidence	active
fgit-cli	L4	L0,L1,L2,L3,L4	cli	active
# Amendment: codec's canonical framing computes digests; identity hashes are
# constitutionally owned by fgit-crypto, so codec sits above crypto.
fgit-codec	L2	L0,L1,L2	canonical-codec	active
fgit-codec-verify	L0	none	canonical-codec	active
fgit-compaction	L3	L0,L1,L2,L3	compaction	active
fgit-crypto	L1	L0,L1	crypto	active
fgit-deflate	L1	L0,L1	pack	active
fgit-diff	L2	L0,L1,L2	git-core	active
fgit-doc	L3	L0,L1,L2	document-intelligence	active
# GoldLotus FG-055 ruling (bead comment 1364): evidence records are
# crypto-identified (L1) and codec-framed (L2) bodies, so this crate is L2.
fgit-evidence	L2	L0,L1,L2	claims-evidence	active
fgit-exchange	L2	L0,L1,L2	claims-evidence	active
fgit-forge	L2	L0,L1,L2	forge	active
fgit-git-object	L1	L0,L1	git-core	active
fgit-graph	L2	L0,L1,L2	graph-intelligence	active
fgit-identity	L3	L0,L1,L2	identity	active
fgit-lab	L2	L0,L1,L2	concurrency	active
fgit-node	L4	L0,L1,L2,L3,L4	node	active
fgit-object-fabric	L2	L0,L1,L2	object-fabric	active
fgit-object-store	L2	L0,L1,L2	object-store-authority	active
fgit-pack	L1	L0,L1	pack	active
fgit-proof-bridge	L2	L0,L1,L2	proof-bridge	active
fgit-raptorq	L2	L0,L1,L2	object-fabric	active
fgit-reference	L2	L0,L1,L2	reference-model	active
fgit-registry-check	L0	none	constitution	active
fgit-release	L2	L0,L1,L2	release-engineering	active
fgit-repair	L2	L0,L1,L2	repair	active
fgit-resource	L0	L0	resource	active
fgit-runner	L3	L0,L1,L2,L3	ci-runners	active
fgit-runtime	L2	L0,L1,L2	concurrency	active
fgit-schema	L2	L0,L1,L2	api-schema	active
fgit-statistics	L2	L0,L1,L2	statistics	active
fgit-treefs	L2	L0,L1,L2	treefs	active
fgit-txn	L2	L0,L1,L2	transactions	active
fgit-types	L0	none	types	active
fgit-verified-read	L2	L0,L1,L2	verified-reads	active
fgit-wire	L1	L0,L1	git-protocol	active
fgit-witness	L2	L0,L1,L2	transactions	active
